id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1421233,Rental unit in Bangkok · ★4.56 · 1 bedroom · 2 beds · 1 bath,7647775,Hataipat,,Khlong San,13.71672,100.5092,Entire home/apt,1286,5,72,2020-02-27,0.60,5,238,0,
313459,Home in Bangkok · 1 bedroom · 1 bed · 1 bath,1611711,Nichapat,,Khlong Toei,13.71513,100.5683,Private room,2227,1,0,,,1,0,0,
1440474,Rental unit in Bangkok · ★5.0 · 1 bedroom · 1 bed · 1 bath,7736004,Prim,,Khlong Toei,13.726709365844727,100.56356048583984,Entire home/apt,1900,1,6,2023-11-20,0.06,3,155,4,
320014,Rental unit in Bangkok · ★4.61 · 2 bedrooms · 2 beds · 2 baths,843854,Anshera,,Khlong Toei,13.7281,100.57318,Entire home/apt,1730,30,70,2023-05-27,0.48,1,144,4,
1444053,Condo in Khet Chatuchak · 1 bedroom · 1 bed · 1 private bath,7753623,Kia,,Chatu Chak,13.79616,100.56478,Private room,1636,2,0,,,1,180,0,
1452584,Rental unit in Bangkok · 1 bedroom · 1 bed · 2 baths,578672,Warin,,Vadhana,13.73862,100.585,Private room,1049,3,1,2014-01-01,0.01,1,365,0,
889909,Home in Bangkok · ★5.0 · 1 bedroom · 1 bed · 1 bath,4721867,Annie,,Bang Na,13.65979,100.60643,Private room,700,1,4,2016-09-06,0.03,1,0,0,
385130,Rental unit in Bangkok · ★4.61 · 1 bedroom · 1 bed · 1 bath,1927968,Evan,,Sathon,13.720548,100.54697,Entire home/apt,700,1,417,2023-12-10,2.91,49,352,22,
385278,Rental unit in Bangkok · 1 bedroom · 1 bed · 0 baths,1928343,Chanvit,,Rat Burana,13.68426,100.49841,Private room,1559,1,0,,,1,0,0,
904353,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 private bath,4836941,GrongGaew,,Suanluang,13.73693,100.61644,Private room,1351,2,0,,,4,364,0,
390611,Condo in Bangkok · ★4.57 · Studio · 2 beds · 1 bath,807406,Hollis,,Khlong Toei,13.74052,100.55237,Entire home/apt,866,1,201,2023-11-08,1.41,1,236,13,
393066,Rental unit in Bangkok · ★4.51 · Studio · 1 bed · 1 bath,1927968,Evan,,Sathon,13.720785,100.547241,Entire home/apt,843,1,458,2023-12-02,3.29,49,330,27,
906203,Condo in Tambon Sam Rong Nua · 1 bedroom · 1 bath,4850305,Dujdao,,Bang Na,13.65441,100.64548,Private room,797,1,0,,,1,365,0,
1453230,Rental unit in Bangkokfdsa · 1 bedroom · 1 bed · 1 bath,7795450,Kirawut,,Vadhana,13.7214,100.58484,Private room,1758,1,0,,,1,0,0,
397449,"Rental unit in Silom, Bangrak · ★4.59 · 1 bedroom · 1 bed · 1 shared bath",263049,Tor,,Sathon,13.71782,100.51622,Private room,1450,1,41,2023-12-08,0.29,7,351,2,
907553,Rental unit in Bangkok · 2 bedrooms · 2 beds · 2 baths,4861469,Kostas,,Ratchathewi,13.75409,100.53552,Entire home/apt,3583,7,0,,,1,269,0,
405662,Condo in  Bangkok · ★4.84 · 1 bedroom · 1 bed · 1 bath,1425515,Peter,,Vadhana,13.73816,100.56495,Entire home/apt,1400,27,33,2023-09-21,0.24,2,146,1,
920116,Rental unit in Bangkok · ★4.73 · 1 bedroom · 1 bed · 1 bath,4836941,GrongGaew,,Suanluang,13.73786,100.64065,Entire home/apt,1559,30,11,2017-12-30,0.12,4,89,0,
1457235,Serviced apartment in Bangkok · ★4.78 · 2 bedrooms · 1 bed · 1 bath,5793490,Nicky,,Bang Kho laen,13.69945,100.52725,Entire home/apt,886,1,9,2023-02-19,0.08,6,84,2,
407381,Rental unit in Bangkok · ★4.77 · 2 bedrooms · 3 beds · 3 baths,1463818,Amporn,,Vadhana,13.73675,100.57191,Entire home/apt,3741,7,15,2022-09-14,0.11,1,82,0,
1463101,Rental unit in Bangkok · ★3.88 · 1 bedroom · 1 bed · 1 bath,7840606,Nap,,Phaya Thai,13.78519,100.5496,Entire home/apt,20000,1,8,2022-12-03,0.09,1,0,0,
923795,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,4968824,Sanjay,,Khlong Toei,13.72468,100.56838,Private room,3000,1,0,,,1,0,0,
413824,Rental unit in Bangkok · ★4.53 · 1 bedroom · 1 bed · 1 bath,1927968,Evan,,Sathon,13.720548,100.54697,Entire home/apt,700,1,357,2023-12-13,2.67,49,0,30,
933070,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,1203066,Tienchai,,Min Buri,13.78238,100.74811,Private room,1620,30,0,,,2,0,0,
933092,Rental unit in Bangkok · 1 bedroom · 2 beds · 1 bath,1203066,Tienchai,,Min Buri,13.78235,100.7482,Private room,1620,1,0,,,2,0,0,
428360,Rental unit in Bangkok · ★4.56 · 2 bedrooms · 1 bed · 1 bath,2129668,Wimonpak,,Yan na wa,13.69673,100.53202,Entire home/apt,1143,200,35,2019-03-04,0.25,42,358,0,
941803,Serviced apartment in Bang Kapi · 1 bedroom · 1 bed · 1 bath,610315,Kasem,,Bang Kapi,13.7703,100.63148,Private room,1905,1,0,,,3,365,0,
941865,Serviced apartment in Bang Kapi · 1 bedroom · 1 bed · 1 bath,610315,Kasem,,Bang Kapi,13.76872,100.63338,Private room,1905,1,0,,,3,365,0,
1485092,Rental unit in Bangkok · Studio · 1 bed · 1 bath,5469970,Yair,,Suanluang,13.72219,100.6145,Entire home/apt,997,10,2,2016-11-13,0.02,12,365,0,
1485265,Rental unit in Bangkok · ★4.27 · Studio · 1 bed · 1 bath,5469970,Yair,,Suanluang,13.71916,100.63024,Entire home/apt,1013,28,15,2023-11-27,0.13,12,332,6,
428421,Rental unit in Bangkok · ★4.79 · 1 bedroom · 1 bed · 1 bath,2129668,Wimonpak,,Bang Kho laen,13.69935,100.52723,Entire home/apt,700,365,40,2018-10-24,0.28,42,365,0,
428907,Rental unit in Bangkok · ★4.53 · 1 bedroom · 1 bed · 1 bath,2129668,Wimonpak,,Bang Kho laen,13.69977,100.52652,Entire home/apt,831,365,17,2023-11-27,0.12,42,270,3,
428950,Rental unit in Bangkok · ★4.61 · 1 bedroom · 1 bed · 1 bath,2129668,Wimonpak,,Bang Kho laen,13.698,100.52886,Entire home/apt,750,1,128,2023-01-01,0.92,42,362,1,
430691,Rental unit in Bangkok · ★4.65 · 1 bedroom · 1 bed · 1 bath,2129668,Wimonpak,,Bang Kho laen,13.70068,100.5228,Entire home/apt,850,1,27,2023-05-07,0.22,42,343,1,
430703,Rental unit in Bangkok · ★4.66 · 1 bedroom · 1 bed · 1 bath,2129668,Wimonpak,,Bang Kho laen,13.69925,100.52624,Entire home/apt,890,3,52,2023-09-11,0.38,42,360,4,
432004,Rental unit in Bangkok · ★4.29 · 1 bedroom · 1 bed · 1 bath,2148220,Marvin,,Sathon,13.71922,100.5255,Private room,1472,1,14,2017-02-23,0.11,3,0,0,
1507375,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,8008449,Sina,,Vadhana,13.70714,100.60281,Entire home/apt,2236,1,0,,,1,0,0,
1515778,Condo in Bangkok · 1 bedroom · 1 bed · 1.5 shared baths,8093424,Tesue,,Vadhana,13.70992,100.59918,Shared room,712,2,1,2018-08-01,0.02,1,0,0,
952677,Hostel in Klong San · ★2.50 · 1 bedroom · 2 beds · 1 private bath,5171292,Somsak,,Khlong San,13.7204,100.50757,Private room,700,2,3,2015-02-07,0.02,5,83,0,
439051,Serviced apartment in Bangkok · ★4.83 · 1 bedroom · 1 bed · 1 bath,2122791,Maam & Hermann,,Yan na wa,13.67317,100.54406,Hotel room,,2,120,2020-02-28,0.85,1,0,0,
959254,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,5153476,Natcha,,Khlong Toei,13.71516,100.56806,Entire home/apt,1400,30,0,,,1,0,0,
1522068,Condo in Bangkok · ★4.77 · 2 bedrooms · 3 beds · 1 bath,8123510,Tatiya,,Chatu Chak,13.84279,100.56287,Entire home/apt,2467,2,247,2023-12-05,2.03,9,339,31,
449826,Loft in Bangkok · ★4.64 · 1 bedroom · 1 bed · 1 bath,2129668,Wimonpak,,Bang Kho laen,13.70218,100.52254,Entire home/apt,700,2,43,2023-04-15,0.32,42,365,5,
1526123,Condo in Bangkok · ★4.60 · 1 bedroom · 1 bath,1774390,Add,,Vadhana,13.73767,100.58381,Entire home/apt,2248,2,41,2023-03-09,0.33,2,360,2,
450464,Rental unit in Bangkok · ★4.63 · 1 bedroom · 1 bed · 1 bath,2129668,Wimonpak,,Bang Kho laen,13.70039,100.52806,Entire home/apt,790,1,46,2023-09-04,0.41,42,340,4,
960858,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,3769704,Pat,,Sai Mai,13.9077,100.64473,Private room,1500,1,0,,,1,0,0,
527553,Condo in Bangkok · ★5.0 · 1 bedroom · 1 bed · 1 bath,2592798,Nokina,,Chatu Chak,13.82841,100.57103,Entire home/apt,,2,23,2016-02-21,0.16,2,0,0,
1547429,Home in Bangkok · 3 bedrooms · 3 beds · 3 baths,8243802,Prare,,Saphan Sung,13.73667,100.69141,Entire home/apt,10356,1,0,,,1,0,0,
534241,Condo in Bangkok · 3 bedrooms · 4 beds · 3 baths,2625384,Mike,,Chatu Chak,13.80994,100.5651,Entire home/apt,4156,30,0,,,1,365,0,
965722,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,5265861,Chuchart,,Vadhana,13.74444,100.57003,Private room,3775,30,2,2018-11-29,0.03,1,0,0,
580270,Rental unit in Bangkok · ★4.66 · Studio · 1 bed · 1 bath,1927968,Evan,,Sathon,13.720785,100.547241,Entire home/apt,650,1,108,2023-12-13,0.98,49,330,14,
969792,Rental unit in Bangkok · 1 bedroom · 2 beds · 2 baths,5297436,Anya,,Ratchathewi,13.7547,100.53268,Entire home/apt,3083,1,0,,,1,0,0,
1560067,Rental unit in Bangkok · ★4.77 · Studio · 2 beds · 1 bath,7667490,Egg,,Sathon,13.72053,100.53854,Entire home/apt,1178,180,85,2016-04-16,0.68,1,0,0,
581755,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,2864425,Urcha,,Bang Kapi,13.75056,100.60844,Private room,1316,5,1,2013-12-03,0.01,1,0,0,
1571204,Rental unit in Bangkok · ★4.82 · 1 bedroom · 1 bed · 1 bath,8214044,Evan From Sanctuary House,,Sathon,13.72052,100.54682,Entire home/apt,1200,1,324,2023-12-02,2.62,9,0,24,
1585084,Rental unit in Bangkok · ★4.70 · 3 bedrooms · 4 beds · 3 baths,8444643,Kiattisak,,Vadhana,13.73616,100.57224,Entire home/apt,39999,2,46,2019-02-26,0.38,58,334,0,
605314,Rental unit in Bangkok · ★4.45 · Studio · 1 bed · 1 bath,1927968,Evan,,Sathon,13.720785,100.547241,Entire home/apt,850,1,441,2023-12-12,3.20,49,338,14,
605343,Rental unit in Bangkok · ★4.58 · Studio · 1 bed · 1 bath,1927968,Evan,,Sathon,13.720785,100.547241,Entire home/apt,750,1,233,2023-12-05,1.74,49,328,8,
608624,Home in Krung Thep Maha Nakhon · ★4.75 · 1 bedroom · 1 bed · 1.5 baths,2940438,Kinifrog,,Thon buri,13.71699,100.4783,Entire home/apt,1350,14,4,2023-10-18,0.34,22,210,4,
